Player,Statistic,Per 90,Percentile
Sergio-Busquets,Statistic,Per 90,Percentile
Sergio-Busquets,Non-Penalty Goals,0.06,47
Sergio-Busquets,Non-Penalty xG,0.03,15
Sergio-Busquets,Shots Total,0.43,10
Sergio-Busquets,Assists,0.09,60
Sergio-Busquets,xAG,0.07,45
Sergio-Busquets,npxG + xAG,0.10,27
Sergio-Busquets,Shot-Creating Actions,2.49,58
Sergio-Busquets,,,
Sergio-Busquets,Passes Attempted,72.53,95
Sergio-Busquets,Pass Completion %,87.1%,84
Sergio-Busquets,Progressive Passes,7.65,90
Sergio-Busquets,Progressive Carries,0.70,20
Sergio-Busquets,Successful Take-Ons,0.41,26
Sergio-Busquets,Touches (Att Pen),0.78,32
Sergio-Busquets,Progressive Passes Rec,1.30,34
Sergio-Busquets,,,
Sergio-Busquets,Tackles,2.64,78
Sergio-Busquets,Interceptions,1.28,69
Sergio-Busquets,Blocks,1.33,62
Sergio-Busquets,Clearances,1.25,66
Sergio-Busquets,Aerials won,2.41,94
Pedri,Statistic,Per 90,Percentile
Pedri,Non-Penalty Goals,0.32,98
Pedri,Non-Penalty xG,0.20,96
Pedri,Shots Total,1.19,64
Pedri,Assists,0.00,11
Pedri,xAG,0.16,88
Pedri,npxG + xAG,0.36,94
Pedri,Shot-Creating Actions,3.92,92
Pedri,,,
Pedri,Passes Attempted,63.02,82
Pedri,Pass Completion %,86.7%,82
Pedri,Progressive Passes,7.72,91
Pedri,Progressive Carries,2.84,92
Pedri,Successful Take-Ons,1.65,95
Pedri,Touches (Att Pen),2.66,91
Pedri,Progressive Passes Rec,5.03,95
Pedri,,,
Pedri,Tackles,2.16,54
Pedri,Interceptions,0.75,24
Pedri,Blocks,1.58,83
Pedri,Clearances,0.36,4
Pedri,Aerials won,0.07,1
Robert-Lewandowski,Statistic,Per 90,Percentile
Robert-Lewandowski,Non-Penalty Goals,0.71,96
Robert-Lewandowski,Non-Penalty xG,0.63,96
Robert-Lewandowski,Shots Total,3.87,94
Robert-Lewandowski,Assists,0.20,81
Robert-Lewandowski,xAG,0.15,68
Robert-Lewandowski,npxG + xAG,0.78,93
Robert-Lewandowski,Shot-Creating Actions,2.70,66
Robert-Lewandowski,,,
Robert-Lewandowski,Passes Attempted,24.11,61
Robert-Lewandowski,Pass Completion %,74.6%,76
Robert-Lewandowski,Progressive Passes,2.98,84
Robert-Lewandowski,Progressive Carries,1.39,50
Robert-Lewandowski,Successful Take-Ons,1.02,68
Robert-Lewandowski,Touches (Att Pen),6.54,89
Robert-Lewandowski,Progressive Passes Rec,7.70,85
Robert-Lewandowski,,,
Robert-Lewandowski,Tackles,0.57,42
Robert-Lewandowski,Interceptions,0.17,45
Robert-Lewandowski,Blocks,0.60,46
Robert-Lewandowski,Clearances,0.54,34
Robert-Lewandowski,Aerials won,1.62,45
Andreas-Christensen,Statistic,Per 90,Percentile
Andreas-Christensen,Non-Penalty Goals,0.00,20
Andreas-Christensen,Non-Penalty xG,0.02,11
Andreas-Christensen,Shots Total,0.30,24
Andreas-Christensen,Assists,0.05,85
Andreas-Christensen,xAG,0.03,62
Andreas-Christensen,npxG + xAG,0.05,27
Andreas-Christensen,Shot-Creating Actions,0.86,70
Andreas-Christensen,,,
Andreas-Christensen,Passes Attempted,80.91,97
Andreas-Christensen,Pass Completion %,93.3%,98
Andreas-Christensen,Progressive Passes,5.13,91
Andreas-Christensen,Progressive Carries,1.12,86
Andreas-Christensen,Successful Take-Ons,0.05,16
Andreas-Christensen,Touches (Att Pen),0.61,32
Andreas-Christensen,Progressive Passes Rec,0.15,37
Andreas-Christensen,,,
Andreas-Christensen,Tackles,1.32,39
Andreas-Christensen,Interceptions,0.86,15
Andreas-Christensen,Blocks,0.81,11
Andreas-Christensen,Clearances,2.74,13
Andreas-Christensen,Aerials won,2.28,68
Marcos-Alonso,Statistic,Per 90,Percentile
Marcos-Alonso,Non-Penalty Goals,0.27,99
Marcos-Alonso,Non-Penalty xG,0.16,99
Marcos-Alonso,Shots Total,1.22,89
Marcos-Alonso,Assists,0.05,33
Marcos-Alonso,xAG,0.16,87
Marcos-Alonso,npxG + xAG,0.32,95
Marcos-Alonso,Shot-Creating Actions,3.15,89
Marcos-Alonso,,,
Marcos-Alonso,Passes Attempted,77.66,96
Marcos-Alonso,Pass Completion %,86.4%,95
Marcos-Alonso,Progressive Passes,5.63,88
Marcos-Alonso,Progressive Carries,1.94,43
Marcos-Alonso,Successful Take-Ons,0.36,20
Marcos-Alonso,Touches (Att Pen),1.94,77
Marcos-Alonso,Progressive Passes Rec,5.13,64
Marcos-Alonso,,,
Marcos-Alonso,Tackles,1.17,6
Marcos-Alonso,Interceptions,1.13,59
Marcos-Alonso,Blocks,1.35,74
Marcos-Alonso,Clearances,2.16,62
Marcos-Alonso,Aerials won,1.80,91
Sergi-Roberto,Statistic,Per 90,Percentile
Sergi-Roberto,Non-Penalty Goals,0.23,99
Sergi-Roberto,Non-Penalty xG,0.14,97
Sergi-Roberto,Shots Total,1.13,88
Sergi-Roberto,Assists,0.23,91
Sergi-Roberto,xAG,0.11,65
Sergi-Roberto,npxG + xAG,0.26,88
Sergi-Roberto,Shot-Creating Actions,1.96,42
Sergi-Roberto,,,
Sergi-Roberto,Passes Attempted,67.95,92
Sergi-Roberto,Pass Completion %,90.4%,99
Sergi-Roberto,Progressive Passes,7.45,98
Sergi-Roberto,Progressive Carries,2.93,83
Sergi-Roberto,Successful Take-Ons,0.30,13
Sergi-Roberto,Touches (Att Pen),2.86,93
Sergi-Roberto,Progressive Passes Rec,5.12,63
Sergi-Roberto,,,
Sergi-Roberto,Tackles,1.88,42
Sergi-Roberto,Interceptions,0.90,33
Sergi-Roberto,Blocks,0.75,11
Sergi-Roberto,Clearances,1.05,7
Sergi-Roberto,Aerials won,0.38,11
Raphinha,Statistic,Per 90,Percentile
Raphinha,Non-Penalty Goals,0.30,69
Raphinha,Non-Penalty xG,0.29,73
Raphinha,Shots Total,3.02,87
Raphinha,Assists,0.23,59
Raphinha,xAG,0.27,83
Raphinha,npxG + xAG,0.56,82
Raphinha,Shot-Creating Actions,4.03,63
Raphinha,,,
Raphinha,Passes Attempted,50.86,88
Raphinha,Pass Completion %,70.3%,23
Raphinha,Progressive Passes,4.52,68
Raphinha,Progressive Carries,3.81,76
Raphinha,Successful Take-Ons,1.55,63
Raphinha,Touches (Att Pen),5.32,81
Raphinha,Progressive Passes Rec,11.80,92
Raphinha,,,
Raphinha,Tackles,1.55,71
Raphinha,Interceptions,0.90,89
Raphinha,Blocks,1.51,93
Raphinha,Clearances,0.75,84
Raphinha,Aerials won,0.57,61
Gavi,Statistic,Per 90,Percentile
Gavi,Non-Penalty Goals,0.03,28
Gavi,Non-Penalty xG,0.10,68
Gavi,Shots Total,0.94,44
Gavi,Assists,0.09,63
Gavi,xAG,0.13,78
Gavi,npxG + xAG,0.22,73
Gavi,Shot-Creating Actions,2.81,69
Gavi,,,
Gavi,Passes Attempted,45.76,40
Gavi,Pass Completion %,84.5%,66
Gavi,Progressive Passes,4.32,36
Gavi,Progressive Carries,2.23,83
Gavi,Successful Take-Ons,1.27,85
Gavi,Touches (Att Pen),3.23,97
Gavi,Progressive Passes Rec,5.50,97
Gavi,,,
Gavi,Tackles,1.90,35
Gavi,Interceptions,0.97,41
Gavi,Blocks,1.51,80
Gavi,Clearances,0.66,24
Gavi,Aerials won,1.51,81
Ansu-Fati,Statistic,Per 90,Percentile
Ansu-Fati,Non-Penalty Goals,0.27,62
Ansu-Fati,Non-Penalty xG,0.51,99
Ansu-Fati,Shots Total,4.37,99
Ansu-Fati,Assists,0.27,74
Ansu-Fati,xAG,0.08,5
Ansu-Fati,npxG + xAG,0.59,89
Ansu-Fati,Shot-Creating Actions,2.83,12
Ansu-Fati,,,
Ansu-Fati,Passes Attempted,38.74,53
Ansu-Fati,Pass Completion %,85.1%,97
Ansu-Fati,Progressive Passes,2.42,13
Ansu-Fati,Progressive Carries,2.83,45
Ansu-Fati,Successful Take-Ons,1.28,37
Ansu-Fati,Touches (Att Pen),8.27,99
Ansu-Fati,Progressive Passes Rec,11.10,88
Ansu-Fati,,,
Ansu-Fati,Tackles,0.94,23
Ansu-Fati,Interceptions,0.20,12
Ansu-Fati,Blocks,1.14,72
Ansu-Fati,Clearances,0.34,38
Ansu-Fati,Aerials won,0.54,57
Jordi-Alba,Statistic,Per 90,Percentile
Jordi-Alba,Non-Penalty Goals,0.08,76
Jordi-Alba,Non-Penalty xG,0.04,50
Jordi-Alba,Shots Total,0.80,69
Jordi-Alba,Assists,0.27,95
